Date	      Type	A	  B	  C	  D	  E	  F
02/15/2020	6/58	06	13	31	35	50	56
02/22/2020	6/58	08	11	12	16	19	22
02/22/2020	6/58	10	14	28	31	35	58
03/05/2020	6/49	08	17	20	24	33	40
03/07/2020	6/58	17	22	28	39	44	52
03/07/2020	6/58	01	10	41	49	50	58
09/05/2020	6/58	05	07	08	36	45	57
09/05/2020	6/55	01	05	07	10	12	20
09/05/2020	6/45	05	09	12	14	19	37
09/12/2020	6/49	07	08	12	19	25	37
09/12/2020	6/58	02	08	12	19	25	37
09/19/2020	6/42	02	08	12	19	25	37
09/19/2020	6/42	01	05	07	10	12	20
09/19/2020	6/42	10	18	24	31	35	38
10/03/2020	6/58	09	13	17	26	27	32
10/03/2020	6/49	08	24	28	37	40	43
10/03/2020	6/49	01	05	07	10	12	20
10/03/2020	6/42	02	08	12	19	25	37
10/03/2020	6/55	03	15	27	36	45	53
10/11/2020	6/49	17	18	23	31	35	48
10/11/2020	6/49	01	05	07	10	12	20
10/17/2020	6/58	02	06	10	20	26	27
10/17/2020	6/49	02	04	08	12	19	38
10/17/2020	6/49	10	12	26	34	40	47
11/08/2020	6/58	02	09	25	30	43	58
11/08/2020	6/49	04	06	08	09	11	30
11/20/2020	6/45	08	10	22	34	38	43
11/20/2020	6/45	06	11	17	31	34	38
12/05/2020	6/55	11	14	25	33	35	37
12/05/2020	6/42	06	08	12	19	25	38
01/09/2021	6/58	19	32	35	43	47	53
01/22/2021	6/58	02	16	33	36	48	55
01/22/2021	6/58	20	24	34	40	46	53
02/21/2021	6/58	06	13	27	36	40	56
03/06/2021	6/55	18	24	30	41	44	48
03/28/2021	6/45	03	06	26	29	34	41
03/28/2021	6/45	13	17	19	24	31	35
05/15/2021	6/45	12	15	19	32	36	44
05/15/2021	6/55	08	12	16	19	24	38
05/22/2021	6/42	08	19	23	26	28	33
05/22/2021	6/55	03	17	26	38	39	45
05/22/2021	6/45	08	09	12	17	24	43
05/22/2021	6/45	10	12	18	28	34	37
05/22/2021	6/45	14	28	43	44	47	50
05/22/2021	6/45	01	17	21	27	31	39
07/09/2021	6/45	07	09	11	12	19	38
07/17/2021	6/42	10	17	22	30	31	33
07/17/2021	6/42	06	09	12	29	35	42
07/17/2021	6/55	06	09	12	29	35	42
07/17/2021	6/55	17	22	30	31	33	46
07/17/2021	6/58	06	09	12	29	35	42
07/17/2021	6/58	17	22	30	31	33	46
07/24/2021	6/55	02	13	20	31	36	41
07/31/2021	6/55	04	08	12	15	17	24
07/31/2021	6/55	15	22	26	30	34	37
08/21/2021	6/42	13	18	25	32	37	40
08/21/2021	6/55	08	12	19	25	38	43
09/02/2021	6/58	05	23	28	42	45	48
10/09/2021	6/42	08	16	24	30	32	40
10/09/2021	6/58	03	09	15	19	32	40
11/06/2021	6/55	08	23	25	33	36	54
11/06/2021	6/58	13	15	28	33	49	54
01/13/2022	6/49	08	12	16	19	40	41
02/26/2022	6/55	31	37	38	39	41	52
05/01/2022	6/55	22	29	31	37	39	45
05/01/2022	6/55	06	09	10	16	17	36
06/06/2022	6/55	11	15	33	36	37	52
06/11/2022	6/58	11	12	16	22	36	43
06/11/2022	6/58	15	22	27	29	48	55
06/11/2022	6/58	02	08	19	25	44	49
08/12/2022	6/45	02	08	12	19	25	39
08/12/2022	6/45	01	09	24	25	28	45
08/20/2022	6/45	01	02	08	12	19	25
09/20/2022	6/42	01	03	07	10	41	42
09/20/2022	6/58	10	16	19	35	40	47
10/01/2022	6/42	01	02	08	12	19	39
10/10/2022	6/55	11	14	17	25	33	37
10/29/2022	6/58	18	22	26	39	47	53
10/29/2022	6/58	07	12	19	24	37	44
01/14/2023	6/55	15	22	28	40	45	53
09/03/2023	6/55	05	22	29	36	44	55
20/03/2023	6/55	03	09	20	21	47	55
01/04/2023	6/42	12	17	24	29	32	39
10/04/2023	6/45	13	28	33	34	38	45
14/10/2023	6/55	13	16	24	41	44	48
24/11/2023	6/45	04	09	12	19	22	41
24/11/2023	6/58	01	05	10	11	12	58
28/08/2023  6/45  11  22  25  28  36  41
28/04/2024  6/58  12  24  28  39  44  56
07/01/2024  6/49  12  21  25  38  42  44
07/01/2024  6/49  01  08  12  16  19  42
24/08/2024  6/55  13  18  25  39  46  53
04/08/2024  6/58  16  29  32  34  48  50
04/08/2024  6/49  08  11  19  23  30  41
04/08/2024  6/49  04  15  20  24  43  48
27/07/2024  6/55  11  14  17  35  39  53
13/07/2024  6/49  05  13  20  24  40  44
12/06/2024  6/55  13  21  29  36  42  54
10/02/2024  6/42  08  11  12  18  25  42
10/02/2024  6/45  01  15  22  27  28  43
14/01/2024  6/49  04  16  20  30  35  42
09/02/2025  6/49  02  08  18  28  34  49
02/16/2025  6/58  12  16  33  37  44  52
